symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JNJ,2019-06-20 00:00:00+00:00,142.21,142.4,141.0,141.25,7335833,125.8963193427,126.0645234118,124.8251250075,125.0464461511,7335833,0.0,1.0
JNJ,2019-06-21 00:00:00+00:00,142.09,142.43,141.01,141.46,11272212,125.7900851937,126.0910819491,124.8339778532,125.2323559118,11272212,0.0,1.0
JNJ,2019-06-24 00:00:00+00:00,143.06,143.7,142.09,142.42,5894683,126.648811231,127.2153933587,125.7900851937,126.0822291033,5894683,0.0,1.0
JNJ,2019-06-25 00:00:00+00:00,144.24,144.98,143.19,143.27,7517135,127.6934470289,128.3485576141,126.7638982257,126.8347209917,7517135,0.0,1.0
JNJ,2019-06-26 00:00:00+00:00,141.85,143.85,140.76,143.85,7674128,125.5776168958,127.3481860449,124.6126567096,127.3481860449,7674128,0.0,1.0
JNJ,2019-06-27 00:00:00+00:00,140.69,142.5,140.6,142.23,5233481,124.5506867894,126.1530518693,124.4710111777,125.9140250342,5233481,0.0,1.0
JNJ,2019-06-28 00:00:00+00:00,139.28,141.1,138.51,140.74,12792462,123.3024355393,124.9136534649,122.6207664169,124.5949510181,12792462,0.0,1.0
JNJ,2019-07-01 00:00:00+00:00,139.36,140.26,138.72,140.2,5875080,123.3732583053,124.1700144223,122.8066761776,124.1168973479,5875080,0.0,1.0
JNJ,2019-07-02 00:00:00+00:00,140.03,140.03,138.69,139.22,4501207,123.9663989702,123.9663989702,122.7801176403,123.2493184648,4501207,0.0,1.0
JNJ,2019-07-03 00:00:00+00:00,142.14,142.18,140.79,141.0,3436339,125.8343494224,125.8697608054,124.6392152468,124.8251250075,3436339,0.0,1.0
JNJ,2019-07-05 00:00:00+00:00,140.57,141.86,140.37,141.74,4652419,124.4444526404,125.5864697416,124.2673957255,125.4802355926,4652419,0.0,1.0
JNJ,2019-07-08 00:00:00+00:00,140.97,141.08,139.64,140.12,4078372,124.7985664703,124.8959477735,123.6211379861,124.0460745819,4078372,0.0,1.0
JNJ,2019-07-09 00:00:00+00:00,141.41,142.47,140.91,141.46,4217453,125.188091683,126.126493332,124.7454493958,125.2323559118,4217453,0.0,1.0
JNJ,2019-07-10 00:00:00+00:00,141.21,141.99,140.67,141.78,4874373,125.0110347681,125.7015567363,124.5329810979,125.5156469756,4874373,0.0,1.0
JNJ,2019-07-11 00:00:00+00:00,140.11,141.21,139.02,140.94,5817412,124.0372217362,125.0110347681,123.0722615499,124.772007933,5817412,0.0,1.0
JNJ,2019-07-12 00:00:00+00:00,134.3,140.12,132.32,140.12,17780111,118.8937183582,124.0460745819,117.1408549006,124.0460745819,17780111,0.0,1.0
JNJ,2019-07-15 00:00:00+00:00,134.71,136.36,134.45,135.39,10038224,119.2566850338,120.7174045817,119.0265110444,119.8586785444,10038224,0.0,1.0
JNJ,2019-07-16 00:00:00+00:00,132.5,133.83,131.75,132.93,10214538,117.3002061241,118.4776346082,116.6362426932,117.6808784911,10214538,0.0,1.0
JNJ,2019-07-17 00:00:00+00:00,131.86,133.58,131.41,132.49,8862093,116.7336239964,118.2563134645,116.3352459378,117.2913532783,8862093,0.0,1.0
JNJ,2019-07-18 00:00:00+00:00,132.07,132.51,131.17,132.13,6203739,116.919533757,117.3090589698,116.12277764,116.9726508315,6203739,0.0,1.0
JNJ,2019-07-19 00:00:00+00:00,130.31,132.39,130.19,132.25,8340239,115.3614329059,117.2028248209,115.2551987569,117.0788849804,8340239,0.0,1.0
JNJ,2019-07-22 00:00:00+00:00,128.64,130.15,127.84,130.0,12625513,113.8830076664,115.2197873739,113.1747800068,115.0869946878,12625513,0.0,1.0
JNJ,2019-07-23 00:00:00+00:00,128.84,129.45,128.16,128.61,5803625,114.0600645813,114.6000881718,113.4580710706,113.8564491292,5803625,0.0,1.0
JNJ,2019-07-24 00:00:00+00:00,129.78,129.79,128.57,128.88,6838620,114.8922320814,114.9010849271,113.8210377462,114.0954759643,6838620,0.0,1.0
JNJ,2019-07-25 00:00:00+00:00,131.12,131.53,129.67,130.06,8897902,116.0785134112,116.4414800868,114.7948507782,115.1401117622,8897902,0.0,1.0
JNJ,2019-07-26 00:00:00+00:00,130.73,131.3,130.49,131.3,4894714,115.7332524272,116.2378646346,115.5207841293,116.2378646346,4894714,0.0,1.0
JNJ,2019-07-29 00:00:00+00:00,133.02,133.31,130.21,131.0,7831982,117.7605541028,118.0172866294,115.2729044484,115.9722792623,7831982,0.0,1.0
JNJ,2019-07-30 00:00:00+00:00,132.08,132.49,131.27,132.47,5509621,116.9283866028,117.2913532783,116.2113060974,117.2736475868,5509621,0.0,1.0
JNJ,2019-07-31 00:00:00+00:00,130.22,132.0,130.18,131.64,8559201,115.2817572942,116.8575638368,115.2463459112,116.53886139,8559201,0.0,1.0
JNJ,2019-08-01 00:00:00+00:00,130.29,130.74,129.02,130.26,7870738,115.3437272144,115.7421052729,114.2194158047,115.3171686771,7870738,0.0,1.0
JNJ,2019-08-02 00:00:00+00:00,131.07,131.47,129.77,130.86,6574944,116.0342491825,116.3883630123,114.8833792356,115.8483394218,6574944,0.0,1.0
JNJ,2019-08-05 00:00:00+00:00,130.16,131.46,129.01,130.91,9480016,115.2286402197,116.3795101666,114.210562959,115.8926036506,9480016,0.0,1.0
JNJ,2019-08-06 00:00:00+00:00,130.77,131.22,129.59,130.34,7880567,115.7686638101,116.1670418687,114.7240280122,115.3879914431,7880567,0.0,1.0
JNJ,2019-08-07 00:00:00+00:00,130.21,130.91,128.19,129.36,6771743,115.2729044484,115.8926036506,113.4846296079,114.5204125601,6771743,0.0,1.0
JNJ,2019-08-08 00:00:00+00:00,131.68,131.95,130.23,130.98,5260533,116.574272773,116.8132996081,115.2906101399,115.9545735708,5260533,0.0,1.0
JNJ,2019-08-09 00:00:00+00:00,132.04,132.76,131.23,131.8,4677327,116.8929752198,117.5303801134,116.1758947144,116.6805069219,4677327,0.0,1.0
JNJ,2019-08-12 00:00:00+00:00,131.93,132.7,131.29,131.5,5567600,116.7955939166,117.477263039,116.2290117889,116.4149215495,5567600,0.0,1.0
JNJ,2019-08-13 00:00:00+00:00,133.42,134.1,132.0,132.3,5101835,118.1146679326,118.7166614433,116.8575638368,117.1231492092,5101835,0.0,1.0
JNJ,2019-08-14 00:00:00+00:00,130.26,132.54,130.13,132.53,7736420,115.3171686771,117.335617507,115.2020816824,117.3267646613,7736420,0.0,1.0
JNJ,2019-08-15 00:00:00+00:00,130.54,131.07,129.25,130.17,7251225,115.565048358,116.0342491825,114.4230312569,115.2374930654,7251225,0.0,1.0
JNJ,2019-08-16 00:00:00+00:00,131.36,131.67,130.6,131.47,5858866,116.2909817091,116.5654199272,115.6181654325,116.3883630123,5858866,0.0,1.0
JNJ,2019-08-19 00:00:00+00:00,132.25,132.57,131.82,132.5,4958004,117.0788849804,117.3621760443,116.6982126134,117.3002061241,4958004,0.0,1.0
JNJ,2019-08-20 00:00:00+00:00,130.6,132.66,130.46,131.96,7302016,115.6181654325,117.441851656,115.494225592,116.8221524538,7302016,0.0,1.0
JNJ,2019-08-21 00:00:00+00:00,131.53,132.41,130.85,131.7,6914009,116.4414800868,117.2205305124,115.8394865761,116.5919784644,6914009,0.0,1.0
JNJ,2019-08-22 00:00:00+00:00,131.27,132.13,130.8,131.6,7213567,116.2113060974,116.9726508315,115.7952223474,116.503450007,7213567,0.0,1.0
JNJ,2019-08-23 00:00:00+00:00,127.73,131.26,127.13,131.07,15714753,113.0773987036,116.2024532517,112.5462279589,116.0342491825,15714753,0.0,1.0
JNJ,2019-08-26 00:00:00+00:00,127.8,128.08,126.63,127.42,8916621,113.9803889696,114.2301112616,112.9369065354,113.6414801448,8916621,0.95,1.0
JNJ,2019-08-27 00:00:00+00:00,129.64,132.4,129.1,129.88,20186781,115.6214211739,118.0829694803,115.1398138965,115.8354688527,20186781,0.0,1.0
JNJ,2019-08-28 00:00:00+00:00,128.68,128.87,127.01,127.86,9878091,114.7652304586,114.934684871,113.2758153602,114.0339008893,9878091,0.0,1.0
JNJ,2019-08-29 00:00:00+00:00,128.24,129.2,126.83,128.84,6750113,114.3728097141,115.2290004294,113.1152796011,114.9079289111,6750113,0.0,1.0
JNJ,2019-08-30 00:00:00+00:00,128.36,129.1,127.62,128.27,7371081,114.4798335535,115.1398138965,113.8198532105,114.399565674,7371081,0.0,1.0
JNJ,2019-09-03 00:00:00+00:00,128.74,128.98,127.51,127.99,5710209,114.8187423783,115.0327900571,113.7217480244,114.149843382,5710209,0.0,1.0
JNJ,2019-09-04 00:00:00+00:00,128.86,129.59,128.08,129.49,4807203,114.9257662177,115.5768279074,114.2301112616,115.4876413746,4807203,0.0,1.0
JNJ,2019-09-05 00:00:00+00:00,128.58,129.9,128.31,129.9,4754074,114.6760439258,115.8533061592,114.4352402871,115.8533061592,4754074,0.0,1.0
